"transaction_id","merchant_id","user_id","bin","mid","transaction_date","transaction_amount","device_id","has_cbk","during_weekend","during_night","user_nb_tx_1Day_window","user_nb_tx_7Day_window","user_nb_tx_30Day_window","user_avg_amount_1Day_window","user_avg_amount_7Day_window","user_avg_amount_30Day_window","merchant_nb_tx_1day_window","merchant_nb_tx_7day_window","merchant_nb_tx_30day_window","merchant_risk_1day_window","merchant_risk_7day_window","merchant_risk_30day_window"
"21320399","92895","2708","444456","4210","2019-12-01 22:45:37 UTC","73400","497105","true","1","0","0","0","2","0","0","41650","0","0","2","0.0","0.0","0.5"
"21320430","56977","69758","464296","3991","2019-12-01 19:17:21 UTC","280300","","true","1","0","0","0","2","0","0","267950","0","0","1","0.0","0.0","1.0"
"21320401","68657","69758","464296","3991","2019-12-01 21:59:19 UTC","255600","","true","1","0","0","0","2","0","0","267950","0","0","1","0.0","0.0","1.0"
"21320404","20917","25661","650485","9310","2019-12-01 21:25:19 UTC","31800","760932","false","1","0","0","0","1","0","0","31800","0","0","1","0.0","0.0","0.0"
"21320405","56107","81152","650516","9201","2019-12-01 21:24:05 UTC","18800","486","true","1","0","0","0","4","0","0","22925","0","0","5","0.0","0.0","0.8"
"21320406","56107","81152","650516","9201","2019-12-01 21:13:21 UTC","35200","486","true","1","0","0","0","4","0","0","22925","0","0","5","0.0","0.0","0.8"
"21320409","32954","6","428267","9019","2019-12-01 20:44:48 UTC","44300","757451","false","1","0","0","0","1","0","0","44300","0","0","1","0.0","0.0","0.0"
"21320410","22918","25484","544731","2063","2019-12-01 20:42:48 UTC","49800","152156","false","1","0","0","0","1","0","0","49800","0","0","2","0.0","0.0","0.0"
"21320413","56107","81669","530033","7110","2019-12-01 20:28:58 UTC","3100","639245","false","1","0","0","0","1","0","0","3100","0","0","5","0.0","0.0","0.8"
"21320415","10016","76014","530780","1598","2019-12-01 20:07:06 UTC","24300","305194","false","1","0","0","0","1","0","0","24300","0","0","1","0.0","0.0","0.0"
"21320416","97583","6434","498401","3796","2019-12-01 19:56:26 UTC","39600","","false","1","0","0","0","1","0","0","39600","0","0","1","0.0","0.0","0.0"
"21320417","94325","89366","406669","3532","2019-12-01 19:56:11 UTC","52700","674576","false","1","0","0","0","1","0","0","52700","0","0","2","0.0","0.0","0.0"
"21320419","3788","18009","550209","5149","2019-12-01 19:44:40 UTC","29600","","false","1","0","0","0","1","0","0","29600","0","0","1","0.0","0.0","0.0"
"21320421","23451","41027","409603","3751","2019-12-01 19:35:36 UTC","22100","139118","false","1","0","0","0","1","0","0","22100","0","0","1","0.0","0.0","0.0"
"21320422","44519","6714","535016","1388","2019-12-01 19:34:54 UTC","2000","397162","false","1","0","0","0","1","0","0","2000","0","0","1","0.0","0.0","0.0"
"21320424","53816","5541","606282","3381","2019-12-01 19:31:20 UTC","259700","656429","true","1","0","0","0","3","0","0","254100","0","0","1","0.0","0.0","1.0"
"21320425","31644","7348","650521","8016","2019-12-01 19:29:43 UTC","70100","946289","false","1","0","0","0","1","0","0","70100","0","0","2","0.0","0.0","0.0"
"21320426","11470","5541","606282","3381","2019-12-01 19:26:01 UTC","251100","656429","true","1","0","0","0","3","0","0","254100","0","0","1","0.0","0.0","1.0"
"21320427","20498","184","467090","6410","2019-12-01 19:23:45 UTC","22300","157031","false","1","0","0","0","1","0","0","22300","0","0","1","0.0","0.0","0.0"
"21320433","16136","41424","534696","9711","2019-12-01 19:07:37 UTC","91600","456630","false","1","0","0","0","1","0","0","91600","0","0","1","0.0","0.0","0.0"
"21320434","88619","67966","536949","4009","2019-12-01 18:54:40 UTC","5000","142420","false","1","0","0","0","1","0","0","5000","0","0","1","0.0","0.0","0.0"
"21320436","28785","80202","606282","5220","2019-12-01 18:36:47 UTC","17800","163561","false","1","0","0","0","1","0","0","17800","0","0","3","0.0","0.0","0.0"
"21320437","32384","22142","530780","9123","2019-12-01 18:35:57 UTC","57300","224158","false","1","0","0","0","1","0","0","57300","0","0","2","0.0","0.0","0.0"
"21320439","5868","38003","498453","8025","2019-12-01 18:33:44 UTC","233200","968225","false","1","0","0","0","1","0","0","233200","0","0","3","0.0","0.0","0.0"
"21320441","68953","10241","533728","5576","2019-12-01 18:30:00 UTC","250700","94234","true","1","0","0","0","5","0","0","141440","0","0","6","0.0","0.0","0.16667"
"21320443","60510","23123","406655","5299","2019-12-01 18:26:02 UTC","36500","","false","1","0","0","0","2","0","0","26050","0","0","2","0.0","0.0","0.0"
"21320445","64641","94988","544731","6862","2019-12-01 18:16:12 UTC","36000","797054","false","1","0","0","0","1","0","0","36000","0","0","1","0.0","0.0","0.0"
"21320446","91072","90229","498453","2638","2019-12-01 17:57:00 UTC","22200","519993","false","1","0","0","0","1","0","0","22200","0","0","1","0.0","0.0","0.0"
"21320447","59574","8359","550209","1321","2019-12-01 17:47:09 UTC","26700","866432","false","1","0","0","0","1","0","0","26700","0","0","1","0.0","0.0","0.0"
"21320450","27220","9005","554906","3672","2019-12-01 17:19:03 UTC","7000","","false","1","0","0","0","3","0","0","6333","0","0","3","0.0","0.0","0.0"
"21320452","33903","53472","516292","1745","2019-12-01 16:57:12 UTC","126400","780606","false","1","0","0","0","1","0","0","126400","0","0","1","0.0","0.0","0.0"
"21320455","47242","11648","230650","4968","2019-12-01 16:52:14 UTC","81500","530487","false","1","0","0","0","1","0","0","81500","0","0","1","0.0","0.0","0.0"
"21320454","67764","21768","530034","3859","2019-12-01 16:52:17 UTC","17000","357277","true","1","0","0","0","6","0","0","85833","0","0","2","0.0","0.0","1.0"
"21320456","71549","39744","522688","3105","2019-12-01 16:50:50 UTC","79000","739317","false","1","0","0","0","1","0","0","79000","0","0","2","0.0","0.0","0.0"
"21320458","42356","74585","536805","7429","2019-12-01 16:46:00 UTC","9800","126381","false","1","0","0","0","4","0","0","28225","0","0","12","0.0","0.0","0.66667"
"21320460","66876","11750","453211","1392","2019-12-01 16:43:09 UTC","68700","342890","true","1","0","0","0","31","0","0","57412","0","0","8","0.0","0.0","0.875"
"21320461","18236","28715","530994","8420","2019-12-01 16:40:47 UTC","18600","72138","false","1","0","0","0","1","0","0","18600","0","0","1","0.0","0.0","0.0"
"21320464","18329","69540","516292","5316","2019-12-01 16:30:47 UTC","67000","516243","false","1","0","0","0","1","0","0","67000","0","0","3","0.0","0.0","0.0"
"21320465","72751","42624","530994","2312","2019-12-01 16:28:17 UTC","22700","893612","false","1","0","0","0","1","0","0","22700","0","0","3","0.0","0.0","0.0"
"21320466","81229","3050","606282","5711","2019-12-01 16:15:35 UTC","29800","21192","false","1","0","0","0","1","0","0","29800","0","0","4","0.0","0.0","0.0"
"21320467","90032","79699","527468","7710","2019-12-01 16:01:52 UTC","70600","178881","false","1","0","0","0","1","0","0","70600","0","0","8","0.0","0.0","0.0"
"21320468","26647","85628","550209","4309","2019-12-01 15:57:01 UTC","36100","","false","1","0","0","0","1","0","0","36100","0","0","3","0.0","0.0","0.0"
"21320472","37267","93869","498407","8891","2019-12-01 15:45:55 UTC","115800","97512","false","1","0","0","0","1","0","0","115800","0","0","1","0.0","0.0","0.0"
"21320473","22454","79564","542820","3273","2019-12-01 15:44:42 UTC","39800","","false","1","0","0","0","1","0","0","39800","0","0","2","0.0","0.0","0.0"
"21320490","30121","40779","520132","7705","2019-12-01 14:24:08 UTC","309700","571604","false","1","0","0","4","6","0","279675","289333","0","0","1","0.0","0.0","0.0"
"21320518","66876","11750","453211","7322","2019-12-01 12:09:19 UTC","55500","342890","false","1","0","0","0","31","0","0","57412","0","0","8","0.0","0.0","0.875"
"21320476","16221","45300","651653","700","2019-12-01 15:19:08 UTC","26400","","false","1","0","0","0","1","0","0","26400","0","0","1","0.0","0.0","0.0"
"21320478","84546","55544","427167","310","2019-12-01 15:10:31 UTC","275000","503714","false","1","0","0","0","2","0","0","237550","0","0","2","0.0","0.0","0.0"
"21320479","28785","1518","515590","9729","2019-12-01 15:10:27 UTC","8000","","false","1","0","0","0","1","0","0","8000","0","0","3","0.0","0.0","0.0"
"21320482","3057","12621","523284","6827","2019-12-01 14:48:54 UTC","14900","590486","false","1","0","0","0","1","0","0","14900","0","0","1","0.0","0.0","0.0"
"21320483","30753","38921","415274","1218","2019-12-01 14:48:09 UTC","9900","","false","1","0","0","0","1","0","0","9900","0","0","1","0.0","0.0","0.0"
"21320497","84970","90182","482425","4102","2019-12-01 14:03:08 UTC","2000","979958","false","1","0","0","0","2","0","0","190100","0","0","2","0.0","0.0","0.5"
"21320484","84970","90182","464296","3991","2019-12-01 14:46:28 UTC","378200","769545","true","1","0","0","0","2","0","0","190100","0","0","2","0.0","0.0","0.5"
"21320485","17275","7695","453211","7840","2019-12-01 14:45:42 UTC","64600","223682","true","1","0","0","0","7","0","0","60742","0","0","30","0.0","0.0","0.73333"
"21320486","27220","9005","554906","3672","2019-12-01 14:45:02 UTC","4000","","false","1","0","0","0","3","0","0","6333","0","0","3","0.0","0.0","0.0"
"21320489","56618","54781","550209","6569","2019-12-01 14:34:12 UTC","39200","785285","false","1","0","0","0","1","0","0","39200","0","0","1","0.0","0.0","0.0"
"21320492","7555","11067","530994","8424","2019-12-01 14:11:48 UTC","9000","591538","false","1","0","0","0","1","0","0","9000","0","0","3","0.0","0.0","0.0"
"21320493","26502","31255","516292","2696","2019-12-01 14:10:50 UTC","6500","317848","false","1","0","0","0","1","0","0","6500","0","0","1","0.0","0.0","0.0"
"21320496","87936","28428","458919","3227","2019-12-01 14:03:31 UTC","7700","958754","false","1","0","0","0","1","0","0","7700","0","0","1","0.0","0.0","0.0"
